transaction_id,transaction_date,description,transaction_type,amount
227,2024-04-01,ATM Fee,FEE,-537.29
228,2024-04-01,Paycheck,DEPOSIT,740.03
229,2024-04-01,Gift,DEPOSIT,328.86
230,2024-04-01,Refund,DEPOSIT,539.98
231,2024-04-04,Gas Station,WITHDRAWAL,-361.55
232,2024-04-04,Grocery Store,WITHDRAWAL,-96.05
233,2024-04-04,Grocery Store,WITHDRAWAL,-562.16
234,2024-04-04,Gas Station,WITHDRAWAL,-136.3
235,2024-04-06,Grocery Store,WITHDRAWAL,-611.48
236,2024-04-06,Gift,DEPOSIT,986.65
237,2024-04-06,ATM Withdrawal,WITHDRAWAL,-17.46
238,2024-04-06,Refund,DEPOSIT,253.5
239,2024-04-07,ATM Fee,FEE,-292.24
240,2024-04-07,Gift,DEPOSIT,843.89
241,2024-04-07,Gift,DEPOSIT,416.29
242,2024-04-08,Transfer from Savings,TRANSFER,403.88
243,2024-04-08,Transfer from Savings,TRANSFER,15.25
244,2024-04-08,Transfer from Savings,TRANSFER,179.18
245,2024-04-09,ATM Fee,FEE,-561.2
246,2024-04-09,Restaurant,WITHDRAWAL,-840.2
247,2024-04-10,Refund,DEPOSIT,713.84
248,2024-04-10,Bonus,DEPOSIT,249.99
249,2024-04-10,Refund,DEPOSIT,770.1
250,2024-04-10,Refund,DEPOSIT,162.82
251,2024-04-11,Restaurant,WITHDRAWAL,-61.31
252,2024-04-11,Grocery Store,WITHDRAWAL,-553.12
253,2024-04-11,Grocery Store,WITHDRAWAL,-329.13
254,2024-04-12,Gift,DEPOSIT,684.69
255,2024-04-15,Grocery Store,WITHDRAWAL,-417.72
256,2024-04-15,ATM Withdrawal,WITHDRAWAL,-852.22
257,2024-04-16,Transfer from Savings,TRANSFER,933.61
258,2024-04-16,Transfer from Savings,TRANSFER,189.42
259,2024-04-16,Bonus,DEPOSIT,724.38
260,2024-04-17,Overdraft Fee,FEE,-797.31
261,2024-04-17,Refund,DEPOSIT,826.88
262,2024-04-17,Gift,DEPOSIT,668.55
263,2024-04-18,Transfer to Savings,TRANSFER,-878.43
264,2024-04-20,Overdraft Fee,FEE,-716.64
265,2024-04-21,ATM Withdrawal,WITHDRAWAL,-750.13
266,2024-04-21,ATM Withdrawal,WITHDRAWAL,-361.81
267,2024-04-22,Gas Station,WITHDRAWAL,-236.74
268,2024-04-23,Restaurant,WITHDRAWAL,-631.43
269,2024-04-23,Gas Station,WITHDRAWAL,-175.06
270,2024-04-24,Grocery Store,WITHDRAWAL,-894.95
271,2024-04-24,Grocery Store,WITHDRAWAL,-754.88
272,2024-04-24,Restaurant,WITHDRAWAL,-746.51
273,2024-04-24,Refund,DEPOSIT,716.92
274,2024-04-25,Monthly Maintenance Fee,FEE,-111.89
275,2024-04-25,Restaurant,WITHDRAWAL,-847.99
276,2024-04-25,Bonus,DEPOSIT,507.27
277,2024-04-25,ATM Withdrawal,WITHDRAWAL,-236.96
278,2024-04-26,Restaurant,WITHDRAWAL,-644.74
279,2024-04-26,Gas Station,WITHDRAWAL,-719.02
280,2024-04-26,Gas Station,WITHDRAWAL,-189.78
281,2024-04-27,Grocery Store,WITHDRAWAL,-406.84
282,2024-04-28,Transfer from Savings,TRANSFER,912.73
283,2024-04-29,Paycheck,DEPOSIT,27.93
284,2024-04-29,Monthly Maintenance Fee,FEE,-923.27
285,2024-04-29,Grocery Store,WITHDRAWAL,-773.53
286,2024-04-29,ATM Withdrawal,WITHDRAWAL,-429.89
287,2024-04-29,Gas Station,WITHDRAWAL,-842.04
288,2024-04-30,Grocery Store,WITHDRAWAL,-243.55
289,2024-04-30,Bonus,DEPOSIT,133.42
